Species,Total valid genome length,Total repeat number,Total repeat length ,Total repeat abundance,Total repeat density,Number of P-SSR,Number of C-SSR,Number of I-SSR,Length of P-SSR,Length of C-SSR,Length of I-SSR,Abundance of P-SSR,Abundance of C-SSR,Abundance of I-SSR,Density of P-SSR,Density of C-SSR,Density of I-SSR
Acheta domesticus,2415.58454,3299527,143961375,1365.93315,59596.91024,692360,63073,2544094,21019723,9376271,113565381,286.62,26.11,1053.2,8701.71,3881.574354,47013.62305
Gryllus bimaculatus,1601.436451,2350765,85930833,1467.910262,53658.59691,473288,48678,1828799,11991621,3041635,70897577,295.54,30.4,1142.39,7488.04,1899.316703,44271.23971
Gryllus longicercus,1850.503451,2932185,134545647,1584.533657,72707.59043,686921,68758,2176506,21236830,6567219,106741598,371.21,37.16,1176.17,11476.24,3548.882331,57682.46362
Teleogryllus occipitalis,1933.715285,2912079,123522027,1505.950241,63878.08379,671168,68173,2172738,21223684,5896101,96402242,347.09,35.25,1123.61,10975.6,3049.105029,49853.37953
Teleogryllus oceanicus,1960.700718,3059806,114087832,1560.567593,58187.27507,669445,75455,2314906,16851527,4969939,92266366,341.43,38.48,1180.65,8594.65,2534.776957,47057.85292
